title,id,link,totalTime,cookTIme,description,imageLink,weatherTempTag,weatherConditionTag
Buffalo Chicken Mac & Cheese,62191,http://www.campbellskitchen.com/recipes/buffalo-chicken-mac-cheese-62191,25,5,"Penne pasta, canned chicken in Buffalo sauce, Cheddar cheese sauce, celery and blue cheese combine for a sassy mac & cheese that's kid-friendly and simply irresistible! This recipe is so easy and delicious you'll want to make it again and again!",http://www.campbellskitchen.com/recipeimages/buffalo-chicken-mac-cheese-large-62191.jpg,,
Miracle Lasagna,24606,http://www.campbellskitchen.com/recipes/miracle-lasagna-24606,75,65,"Traditional, full-flavored lasagna is layered together in just minutes with pasta sauce, noodles, and three cheeses.",http://www.campbellskitchen.com/recipeimages/miracle-lasagna-large-24606.jpg,,
Chicken & Noodle Casserole,60296,http://www.campbellskitchen.com/recipes/chicken-noodle-casserole-60296,45,25,A few pantry staples mix with chicken and frozen peas to make a quick-cooking casserole the whole family will love.,http://www.campbellskitchen.com/recipeimages/chicken-noodle-casserole-large-60296.jpg,no photo,
Beef & Rotini Skillet,23,http://www.campbellskitchen.com/recipes/beef-rotini-skillet-23,40,20,"You'll be rewarded with smiles when you make this quick-cooking skillet dish that mixes seasoned ground beef, corn and pasta in a flavorful tomato sauce. It's sure to become a family favorite.",http://www.campbellskitchen.com/recipeimages/beef-rotini-skillet-large-23.jpg,,
Ranchero Macaroni Bake,24456,http://www.campbellskitchen.com/recipes/ranchero-macaroni-bake-24456,45,25,"This tasty twist on classic mac and cheese uses picante sauce and crushed tortilla chips to kick-up the flavor, and make a good thing even better!",http://www.campbellskitchen.com/recipeimages/ranchero-macaroni-bake-large-24456.jpg,,
Broccoli & Noodles Supreme,24415,http://www.campbellskitchen.com/recipes/broccoli-noodles-supreme-24415,35,25,"The trick to this simply delicious recipe is that the broccoli and noodles cook together. Mixed with a creamy, cheesy sauce, this 35-minute dish is really good!",http://www.campbellskitchen.com/recipeimages/broccoli-noodles-supreme-large-24415.jpg,,
Creamy Poblano Mac & Cheese,61797,http://www.campbellskitchen.com/recipes/creamy-poblano-mac-cheese-61797,30,10,"Mac & cheese goes from ordinary to extraordinary with the addition of sawtayed fresh vegetables and creamy poblano & queso soup. This crowd pleasing casserole is incredibly good, easy to prepare and sure to earn rave reviews!",http://www.campbellskitchen.com/recipeimages/creamy-poblano-mac-cheese-large-61797.jpg,,
Chicken Sorrento,60745,http://www.campbellskitchen.com/recipes/chicken-sorrento-60745,40,20,Balsamic vinegar is the secret ingredient that takes this sawtayed chicken and pasta dish to a whole new level. Chopped basil and grated Parmesan add the finishing touches that make it irresistible!,http://www.campbellskitchen.com/recipeimages/chicken-sorrento-large-60745.jpg,,
Classic Lasagna,25503,http://www.campbellskitchen.com/recipes/classic-lasagna-25503,70,40,It's all about the layering when you make lasagna and is so easy when you start with a sauce already made and delicious.,http://www.campbellskitchen.com/recipeimages/classic-lasagna-large-25503.jpg,,
Easy Chicken & Broccoli Alfredo,904420,http://www.campbellskitchen.com/recipes/easy-chicken-broccoli-alfredo-904420,25,5,"This family-friendly dish features cooked chicken, broccoli and a savory mushroom soup tossed with hot cooked linguine and Parmesan cheese. It's a 30-minute dish that's simply irresistible.",http://www.campbellskitchen.com/recipeimages/easy-chicken-broccoli-alfredo-large-904420.jpg,,
Cheeseburger Pasta,25080,http://www.campbellskitchen.com/recipes/cheeseburger-pasta-25080,25,20,"This easy, flavorful, one-skillet supper takes pantry ingredients and combines them to make a delicious dish that's sure to become a family favorite!",http://www.campbellskitchen.com/recipeimages/cheeseburger-pasta-large-25080.jpg,,
Beef and Pasta,23883,http://www.campbellskitchen.com/recipes/beef-and-pasta-23883,30,25,It couldn't be easier. The pasta cooks together in the same pan with the meat sauce. For a quick meal.,http://www.campbellskitchen.com/recipeimages/beef-and-pasta-large-23883.jpg,,
Turkey Sausage & Tortellini in Creamy Tomato Basil Sauce,50216,http://www.campbellskitchen.com/recipes/turkey-sausage-tortellini-in-creamy-tomato-basil-sauce-50216,20,15,"Why eat out when you can make this creamy, restaurant-style tortellini dish in just 20 minutes. Chopped fresh basil gives the dish a bright, fresh flavor.",http://www.campbellskitchen.com/recipeimages/turkey-sausage-tortellini-in-creamy-tomato-basil-sauce-large-50216.jpg,,
Turkey & Broccoli Alfredo,24113,http://www.campbellskitchen.com/recipes/turkey-broccoli-alfredo-24113,30,20,"Turkey, broccoli and linguine team up with a creamy sauce made with cream of mushroom soup and Parmesan cheese to make this family-pleasing dish.",http://www.campbellskitchen.com/recipeimages/turkey-broccoli-alfredo-large-24113.jpg,,
Creamy Turkey & Vegetable Lasagna,62149,http://www.campbellskitchen.com/recipes/creamy-turkey-vegetable-lasagna-62149,75,50,"Whole grain noodles, a creamy soup mixture and a scrumptious combination of ground turkey, fresh veggies and mozzarella cheese are layered to create fantastic lasagna that's loaded with flavor. It's a deliciously different way to enjoy this popular meal.",http://www.campbellskitchen.com/recipeimages/creamy-turkey-vegetable-lasagna-large-62149.jpg,,
Chicken Sausage with Farfalle Alfredo,62207,http://www.campbellskitchen.com/recipes/chicken-sausage-with-farfalle-alfredo-62207,45,25,"Farfalle pasta, chicken sausage, onion and tomatoes are tossed in a creamy basil pesto Alfredo sauce. The result is a fabulous dish that's guaranteed to be a real crowd-pleaser!",http://www.campbellskitchen.com/recipeimages/chicken-sausage-with-farfalle-alfredo-large-62207.jpg,,
Cheddar Penne with Sausage & Peppers,60553,http://www.campbellskitchen.com/recipes/cheddar-penne-with-sausage-peppers-60553,40,20,This simple skillet dish combines mac and cheese with sausage and peppers to make a family-favorite dish that's on the table in less than 45 minutes!,http://www.campbellskitchen.com/recipeimages/cheddar-penne-with-sausage-peppers-large-60553.jpg,,
Slow-Cooked Ratatouille with Penne,27100,http://www.campbellskitchen.com/recipes/slow-cooked-ratatouille-with-penne-27100,355,330,"You won't miss the meat at all in this fabulous veggie and pasta dish that slow-cooks for hours so that the flavors really develop. You'll see how the zucchini, eggplant and peppers combine to make a mouthwatering pasta topper.",http://www.campbellskitchen.com/recipeimages/slow-cooked-ratatouille-with-penne-large-27100.jpg,,
