title,id,link,totalTime,cookTIme,description,imageLink,weatherTempTag,weatherConditionTag
Beef Taco Bake,23817,http://www.campbellskitchen.com/recipes/beef-taco-bake-23817,40,30,"Perfect for buffets, parties or weeknight dinners, this 40-minute casserole features seasoned ground beef, tortilla pieces, picante sauce and lots of Cheddar cheese.",http://www.campbellskitchen.com/recipeimages/beef-taco-bake-large-23817.jpg,,
Family Spaghetti Pie,24729,http://www.campbellskitchen.com/recipes/family-spaghetti-pie-24729,60,35,"Tender spaghetti forms a crust that's filled with a kicked-up, beef-mushroom-tomato sauce and lots of cheese in this creative main-dish pie.",http://www.campbellskitchen.com/recipeimages/family-spaghetti-pie-large-24729.jpg,,
Slow Cooker Spaghetti Bolognese,50454,http://www.campbellskitchen.com/recipes/slow-cooker-spaghetti-bolognese-50454,260,240,Using the slow cooker is a great way to infuse flavor into this easy-to-make meat sauce. It makes a great topping for spaghetti or your favorite pasta shape.,http://www.campbellskitchen.com/recipeimages/slow-cooker-spaghetti-bolognese-large-50454.jpg,,
Korean BBQ Pulled Beef Tacos,61899,http://www.campbellskitchen.com/recipes/korean-bbq-pulled-beef-tacos-61899,10,10,Slow cook a batch of pulled beef made with Campbell's Sweet Korean BBQ Slow Cooker Sauce and use some to make these family-favorite tacos.  Warm flour tortillas wrap around a sassy filling of chuck roast that has been slow-cooked in a savory sauce resulting in melt-in-your-mouth pulled beef that can't be beat.,http://www.campbellskitchen.com/recipeimages/korean-bbq-pulled-beef-tacos-large-61899.jpg,,
Easy Beef Enchiladas,26152,http://www.campbellskitchen.com/recipes/easy-beef-enchiladas-26152,40,20,"These flavorful enchiladas make a simple, delicious and filling supper!",http://www.campbellskitchen.com/recipeimages/easy-beef-enchiladas-large-26152.jpg,,
Simply Delicious Meatloaf & Gravy,25190,http://www.campbellskitchen.com/recipes/simply-delicious-meatloaf-gravy-25190,90,75,The name says it all. This family-pleasing meatloaf is made special and scrumptious with golden mushroom soup.,http://www.campbellskitchen.com/recipeimages/simply-delicious-meatloaf-gravy-large-25190.jpg,,
One-Dish Creamy Beef & Noodles,23849,http://www.campbellskitchen.com/recipes/one-dish-creamy-beef-noodles-23849,35,25,"Streamlined in method but not in taste, beef broth gives this sawtayd beef and mushroom recipe full, hearty flavor plus the noodles cook right in the broth!",http://www.campbellskitchen.com/recipeimages/one-dish-creamy-beef-noodles-large-23849.jpg,no photo,
Mushroom-Smothered Beef Burgers,25629,http://www.campbellskitchen.com/recipes/mushroom-smothered-beef-burgers-25629,40,25,"There's nothing more satisfying and delicious than these tasty, quick-cooking, beef burgers cooked in a skillet with a creamy mushroom sauce.",http://www.campbellskitchen.com/recipeimages/mushroom-smothered-beef-burgers-large-25629.jpg,,
Slow Cooked Sweet & Spicy Barbecued Brisket,50415,http://www.campbellskitchen.com/recipes/slow-cooked-sweet-spicy-barbecued-brisket-50415,980,970,"The slow-cooker makes easy work of this fork tender brisket dripping with a mouthwatering sauce. Served on buns, it's perfect for buffets, tail-gating or any time you want to serve hearty, crowd-pleasing food.",http://www.campbellskitchen.com/recipeimages/slow-cooked-sweet-spicy-barbecued-brisket-large-50415.jpg,,
Hamburger Pie,25803,http://www.campbellskitchen.com/recipes/hamburger-pie-25803,30,15,Crescent rolls form the top and bottom buns that are filled with ground beef and shredded cheese.  It's the easiest way to serve hamburgers.,http://www.campbellskitchen.com/recipeimages/hamburger-pie-large-25803.jpg,,
Good-For-You Stuffed Peppers,50159,http://www.campbellskitchen.com/recipes/good-for-you-stuffed-peppers-50159,70,50,Revive an old-fashioned recipe with new-fashioned sensibilities and enjoy.,http://www.campbellskitchen.com/recipeimages/good-for-you-stuffed-peppers-large-50159.jpg,,
Beef & Rotini Skillet,23,http://www.campbellskitchen.com/recipes/beef-rotini-skillet-23,40,20,"You'll be rewarded with smiles when you make this quick-cooking skillet dish that mixes seasoned ground beef, corn and pasta in a flavorful tomato sauce.  It's sure to become a family favorite.",http://www.campbellskitchen.com/recipeimages/beef-rotini-skillet-large-23.jpg,,
Slow Cooker Swiss Steak,50404,http://www.campbellskitchen.com/recipes/slow-cooker-swiss-steak-dinner-50404,495,480,"The slow-cooker does most of the work for you when making this tender beef stew, packed with potatoes and carrots in a savory tomato gravy. All you need is 15 minutes in the morning, and you're part of the cooking is done.",http://www.campbellskitchen.com/recipeimages/slow-cooker-swiss-steak-dinner-large-50404.jpg,,
Dripping Roast Beef Sandwiches with Melted Provolone,60570,http://www.campbellskitchen.com/recipes/dripping-roast-beef-sandwiches-with-melted-provolone-60570,13,8,"In less than 15 minutes, you can put together these mouthwatering, restaurant-style sandwiches that get a kick from banana peppers and cheesy goodness from melted provolone.  Enjoy!",http://www.campbellskitchen.com/recipeimages/dripping-roast-beef-sandwiches-with-melted-provolone-large-60570.jpg,,
Garlic Mashed Potatoes & Beef Bake,25040,http://www.campbellskitchen.com/recipes/garlic-mashed-potatoes-beef-bake-25040,35,20,This version of classic Shepherd's Pie features ground beef and vegetables in a savory sauce topped with mashed potatoes and baked until piping hot.,http://www.campbellskitchen.com/recipeimages/garlic-mashed-potatoes-beef-bake-large-25040.jpg,,
Creamy Burger Bake,61363,http://www.campbellskitchen.com/recipes/creamy-burger-bake-61363,40,25,"This family-friendly casserole is ready in less than an hour. Ground beef, creamy pasta sauce and tomatoes are topped with buttermilk biscuits and baked to golden brown deliciousness.",http://www.campbellskitchen.com/recipeimages/creamy-burger-bake-large-61363.jpg,,
Easy Taco Tamale Pie,25931,http://www.campbellskitchen.com/recipes/easy-taco-tamale-pie-25931,40,25,"This cheesy, kicked-up beef and corn casserole is topped with cornbread to make a hearty dish that the whole family will enjoy!",http://www.campbellskitchen.com/recipeimages/easy-taco-tamale-pie-large-25931.jpg,,
Quick & Easy Dinner Nachos Supreme,23767,http://www.campbellskitchen.com/recipes/quick-easy-dinner-nachos-supreme-23767,25,15,"Taco-seasoned ground beef simmered with tomato and rice is topped with salsa, cheese and lettuce for a tortilla chip-dipping meal.",http://www.campbellskitchen.com/recipeimages/quick-easy-dinner-nachos-supreme-large-23767.jpg,,
Savory Vegetable Beef Soup,23870,http://www.campbellskitchen.com/recipes/savory-vegetable-beef-soup-23870,30,20,"Yum. You can ladle up this flavorful, homemade beef and vegetable soup in just 30 minutes.",http://www.campbellskitchen.com/recipeimages/savory-vegetable-beef-soup-large-23870.jpg,,
Quick & Easy Chili,61887,http://www.campbellskitchen.com/recipes/quick-easy-chili-61887,30,20,"It just doesn't get any easier or more delicious than this! Sawtayed ground beef, onion, beans and Mexican style tomato soup simmer together to make a quick and hearty chili that everyone will love.",http://www.campbellskitchen.com/recipeimages/quick-easy-chili-large-61887.jpg,,
Beef & Mushroom Dee-zhawn,5,http://www.campbellskitchen.com/recipes/beef-mushroom-dijon-5,35,25,"This one-skillet wonder is a classic. It's aromatic, tasty and very easy to make.  Why not try it for dinner tonight?",http://www.campbellskitchen.com/recipeimages/beef-mushroom-dijon-large-5.jpg,,
Beef Sirloin Steak with Baby Spinach,60561,http://www.campbellskitchen.com/recipes/beef-sirloin-steak-with-baby-spinach-60561,40,20,"If you've never tried sirloin steak, give this family-pleasing version a try.  It features a creamy sauce flavored with balsamic vinegar. And in just 40 minutes, you've got steak, veggies and potatoes ready to serve.",http://www.campbellskitchen.com/recipeimages/beef-sirloin-steak-with-baby-spinach-large-60561.jpg,,
Easy Beef Pot Pie,26134,http://www.campbellskitchen.com/recipes/easy-beef-pot-pie-26134,55,35,"Here's a great idea for leftover beef and veggies. Mix them with a creamy mushroom gravy and tuck them into a flaky, refrigerated pie crust. Easy never tasted so good!",http://www.campbellskitchen.com/recipeimages/easy-beef-pot-pie-large-26134.jpg,,
Slow Cooker Hearty Beef & Bean Chili,25751,http://www.campbellskitchen.com/recipes/slow-cooker-hearty-beef-bean-chili-25751,495,480,"Since this chili slowly simmers all day long, the flavors blend together to make each bite satisfying and delicious.",http://www.campbellskitchen.com/recipeimages/slow-cooker-hearty-beef-bean-chili-large-25751.jpg,,
Beef & Broccoli,24428,http://www.campbellskitchen.com/recipes/beef-broccoli-24428,45,20,"Steak strips are stir-fried with broccoli and simmered in a tangy tomato sauce. Served over rice, this tasty dish is sure to please your dinnertime crowd.",http://www.campbellskitchen.com/recipeimages/beef-broccoli-large-24428.jpg,,
Meatloaf with Roasted Garlic Potatoes,24875,http://www.campbellskitchen.com/recipes/meatloaf-with-roasted-garlic-potatoes-24875,80,60,"Ordinary meatloaf becomes extraordinary when it's made with picante instead of tomato sauce.  Served with roasted garlic potatoes, this dish is irresistible.",http://www.campbellskitchen.com/recipeimages/meatloaf-with-roasted-garlic-potatoes-large-24875.jpg,,
Onion-Crusted Meatloaf with Roasted Potatoes,24940,http://www.campbellskitchen.com/recipes/onion-crusted-meatloaf-with-roasted-potatoes-24940,73,63,This easy to make meatloaf gets great flavor from French fried onions and condensed tomato soup. It takes just 10 minutes to make before you pop it in the oven. And it's so good.,http://www.campbellskitchen.com/recipeimages/onion-crusted-meatloaf-with-roasted-potatoes-large-24940.jpg,,
Zesty Beef & Rice Skillet,25906,http://www.campbellskitchen.com/recipes/zesty-beef-rice-skillet-25906,40,30,"Here's an easy to prepare, one-skillet dish that features family-friendly flavors like beef, rice and picante sauce. Everyone will enjoy this dish.",http://www.campbellskitchen.com/recipeimages/zesty-beef-rice-skillet-large-25906.jpg,,
